pe_ctx,w_normalized,h_values,d_eff,n_eff
1.0377032168799724e-05,10.89037160024814,-5.762459769688853,13.028644291618205,3.0876090514012793
1.0377032168799724e-05,16.264611114116448,-5.541281477756697,8.326003663491655,4.8133926577135995
1.0377032168799724e-05,14.592581959656597,-5.6683350211899715,11.114214406119103,4.645511326984312
1.0377032168799724e-05,15.459279238569579,-5.310639620289871,9.09704862302239,6.323267271554954
1.0377032168799724e-05,14.120969120862052,-5.7396819325121475,11.21422703831295,4.588393757077142
1.0377032168799724e-05,15.960365171902694,-5.687764555143155,10.38734670680795,5.525292005292436
1.0377032168799724e-05,17.915114424183685,-5.58814215819626,6.948759106772455,3.431388363957331
1.0377032168799724e-05,17.377768432388468,-5.827522787453846,7.326371061946083,6.514016387209807
1.0377032168799724e-05,10.889885946208429,-5.750398821072574,13.983992611578499,6.049777541342367
1.0377032168799724e-05,14.460259222315473,-5.587014527302062,11.041230848675125,5.3141437584860665
1.0377032168799724e-05,20.175357573010324,-5.7491829341264875,5.2885888255105185,5.873514792564984
1.0377032168799724e-05,19.91175658440813,-5.708171712847229,5.464840097520897,4.365610381527857
1.0377032168799724e-05,15.300279755899433,-5.611617299522752,7.452435734178703,5.71833720362298
1.0377032168799724e-05,13.17366094761186,-5.411385166857746,12.410761785382833,4.441349651715507
1.0377032168799724e-05,19.576738682324937,-5.759253333858877,5.669213675178843,5.033944211176547
1.0377032168799724e-05,12.309366073581694,-5.708695465671204,13.676950321760895,5.0769039112642265
1.0377032168799724e-05,19.12174114912829,-5.640891113549775,5.068975904637645,4.360606709193889
1.0377032168799724e-05,11.982781826319954,-5.745012473113739,14.063631662092465,5.803595146994594
1.0377032168799724e-05,20.510040329904786,-5.716718016853854,6.120436845587422,5.132126891514595
1.0377032168799724e-05,18.348912309152077,-5.648359032108457,6.643448093498284,5.417722075337288
1.0377032168799724e-05,14.484840352532379,-5.704927140700626,9.452824828294363,5.137248069823766
1.0377032168799724e-05,17.345340726393527,-5.844229542479428,7.775300237094483,3.234687095931477
1.0377032168799724e-05,14.154769922707349,-5.508454211773756,8.605497485635354,6.681262765970553
1.0377032168799724e-05,18.609691848739136,-5.603157917719767,5.838612602359,5.46287915957479
1.0377032168799724e-05,15.686910426185086,-5.704266938289848,8.93540101069279,6.339904790019567
1.0377032168799724e-05,16.504806549603554,-5.709278678612636,7.072042420160676,5.1794280673061825
1.0377032168799724e-05,21.443644484227896,-5.579628898986287,5.411356542862724,5.526272555871188
1.0377032168799724e-05,18.557800542648735,-5.59864779084603,6.507316400619709,6.028412642844314
1.0377032168799724e-05,15.72037177006544,-5.62470236953474,10.177551084991267,4.046370562957607
1.0377032168799724e-05,18.455034916654625,-5.589157335592138,6.242159732704722,5.439831100702446
1.0377032168799724e-05,14.005188226857568,-5.630636839681774,11.037119823073663,3.8760712674761657
1.0377032168799724e-05,18.190546690988903,-5.468292091500332,5.8166250080806154,3.10682629023613
1.0377032168799724e-05,12.746435858323359,-5.673523999961635,13.342520791192733,6.296322161744648
1.0377032168799724e-05,14.622552424361324,-5.580740032818264,9.540805338856336,3.562384025026426
1.0377032168799724e-05,11.530409025923108,-5.784833515780285,14.34566089757512,6.517959507132252
1.0377032168799724e-05,18.624074128623697,-5.694091359623953,6.192391192755019,3.982691068006935
1.0377032168799724e-05,12.964922584275527,-5.687085472257943,10.911310902927392,6.529140339774294
